"dteday","season","yr","mnth","holiday","weekday","workingday","total","temp","hum","windspeed"
"2011-01-01","1",0,"1",0,"6",0,985,-0.826098354898046,1.24931828574318,-0.387628645860541
"2011-01-02","1",0,"1",0,"0",0,801,-0.720599913249658,0.478784850077848,0.749090363392487
"2011-01-03","1",0,"1",0,"1",1,1349,-1.63354020584263,-1.33835957925193,0.746122029701535
"2011-01-04","1",0,"1",0,"2",1,1562,-1.61367490146265,-0.263003033183988,-0.389566520640596
"2011-01-05","1",0,"1",0,"3",1,1600,-1.46641253638497,-1.34057967018575,-0.0462751591211615
"2011-01-06","1",0,"1",0,"4",1,1606,-1.58992290709528,-0.769738788827877,-1.30224242670338
"2011-01-07","1",0,"1",0,"5",1,1510,-1.63267649695654,-0.907106915357846,-0.280783721165815
"2011-01-08","1",0,"1",0,"6",0,959,-1.80487845611995,-0.646361860370404,0.984774740894761
"2011-01-09","1",0,"1",0,"0",0,822,-1.95055735490647,-1.36016734748725,2.21249672383597
"2011-01-10","1",0,"1",0,"1",1,1321,-1.88227037110029,-1.01789176555007,0.422985075917633
"2011-01-11","1",0,"1",0,"2",1,1263,-1.78252998869247,0.410517053862954,-0.882016650130384
"2011-01-12","1",0,"1",0,"3",1,1162,-1.76266468431249,-0.199036663153366,1.47282825986535
"2011-01-13","1",0,"1",0,"4",1,1406,-1.80487845611995,-1.10565473527755,1.42602345182091
"2011-01-14","1",0,"1",0,"5",1,1421,-1.82744285076895,-0.632370662297907,-0.825034333700547
"2011-01-15","1",0,"1",0,"6",0,1248,-1.4315762779795,-0.906725337228596,-0.419672539087297
"2011-01-16","1",0,"1",0,"0",0,1204,-1.44068120915366,-1.01204090090157,-0.0264896680012857
"2011-01-17","1",0,"1",1,"1",0,1000,-1.74569640348793,-0.634660131073406,0.0455553268373927
"2011-01-18","1",0,"1",0,"2",1,683,-1.52262558972108,1.64132621719259,-0.564031353372261
"2011-01-19","1",0,"1",0,"3",1,1650,-1.11013262087447,0.799310478647778,0.230085887919978
"2011-01-20","1",0,"1",0,"4",1,1927,-1.27679244801883,-0.628809266424908,0.0699108362865878
"2011-01-21","1",0,"1",0,"5",1,1543,-1.73659147231377,-1.19926856965353,2.10012803785624
"2011-01-22","1",0,"1",0,"6",0,981,-2.38323951896533,-1.60005279807569,-0.238931236169329
"2011-01-23","1",0,"1",0,"0",0,986,-2.17897236740598,-1.34363229521975,0.724068636437483
"2011-01-24","1",0,"1",0,"1",1,1416,-2.1742219685325,-0.955948915901836,-0.414924862756429
"2011-01-25","1",0,"1",0,"2",1,1985,-1.48541413187887,-0.0767929061100295,-0.783125746177257
"2011-01-26","1",0,"1",0,"3",1,506,-1.518073124134,1.64717708184109,1.33376284649018
"2011-01-27","1",0,"1",0,"4",1,431,-1.64098969498512,0.418495505656361,-0.989043057998942
"2011-01-28","1",0,"1",0,"5",1,1167,-1.59467330596876,1.1595202326597,-0.866942921223838
"2011-01-29","1",0,"1",0,"6",0,1098,-1.63267649695654,0.167417096609917,-0.582222597688763
"2011-01-30","1",0,"1",0,"0",0,1096,-1.52341732286665,0.661942352117807,-1.50331388277228
"2011-01-31","1",0,"1",0,"1",1,1501,-1.71838160996546,-0.169516391517759,-0.0425116146146634
"2011-02-01","1",0,"2",0,"2",1,1360,-1.65642849132391,1.41594073551564,-1.77131565331949
"2011-02-02","1",0,"2",0,"3",1,1526,-1.28589737919299,1.03576172607298,0.952569552903441
"2011-02-03","1",0,"2",0,"4",1,1550,-1.68493088456475,-1.33447442011775,1.12604324099489
"2011-02-04","1",0,"2",0,"5",1,1708,-1.55191971610749,-0.29963453359198,-0.80837188323948
"2011-02-05","1",0,"2",0,"6",0,1005,-1.4315762779795,2.11524625372099,-0.379456377789289
"2011-02-06","1",0,"2",0,"0",0,1623,-1.14477094599355,-0.418178139078954,-0.628226669668815
"2011-02-07","1",0,"2",0,"1",1,1712,-1.22216286097389,0.775398249214783,-1.87202436414492
"2011-02-08","1",0,"2",0,"2",1,1530,-1.49986326178568,-0.631734698749157,2.21249672383597
"2011-02-09","1",0,"2",0,"3",1,1605,-1.96995481697315,-0.93458054066384,-0.0212534321661579
"2011-02-10","1",0,"2",0,"4",1,1538,-1.91770042936494,-1.33752704515175,0.405799001873053
"2011-02-11","1",0,"2",0,"5",1,1746,-1.67327081460259,-0.853269710212767,-1.0572707434096
"2011-02-12","1",0,"2",0,"6",0,1472,-1.49075833061153,-0.587853213885417,0.166203810731418
"2011-02-13","1",0,"2",0,"0",0,1589,-0.977121452417219,-1.19710629358778,0.908365436991715
